order_id,customer_id,product_id,order_date,quantity
1,139,2,2025-09-10,1
2,459,19,2025-07-27,3
3,127,4,2024-11-08,3
4,905,19,2025-11-09,2
5,714,26,2025-02-09,3
6,197,5,2024-01-20,3
7,409,21,2025-11-28,1
8,24,1,2025-07-09,3
9,631,20,2025-04-25,1
10,531,17,2025-10-16,3
11,924,15,2025-07-15,3
12,262,13,2024-07-29,2
13,729,29,2024-09-13,1
14,308,11,2024-09-17,3
15,854,8,2025-02-20,2
16,684,14,2024-04-15,2
17,586,30,2024-06-19,3
18,893,18,2024-11-26,1
19,537,29,2024-03-12,2
20,769,23,2024-12-01,3
21,927,25,2024-09-22,1
22,392,16,2024-09-21,1
23,907,3,2024-09-05,2
24,683,9,2025-08-20,3
25,964,14,2025-12-26,3
26,552,1,2024-02-06,1
27,924,3,2024-12-05,1
28,420,8,2024-03-03,2
29,626,23,2024-06-27,1
30,197,26,2025-10-28,3
31,127,23,2024-12-30,1
32,321,14,2025-05-13,2
33,607,24,2024-11-08,1
34,945,7,2025-08-16,1
35,145,23,2025-03-06,2
36,304,16,2025-10-02,3
37,747,6,2025-10-14,3
38,734,29,2025-04-20,2
39,392,7,2025-12-23,2
40,988,6,2024-10-19,3
41,325,22,2025-12-25,2
42,777,20,2025-08-30,3
43,358,4,2024-04-25,1
44,706,27,2024-03-29,3
45,598,20,2025-12-12,1
46,148,10,2025-02-07,3
47,229,4,2024-02-16,1
48,700,27,2025-09-02,3
49,853,29,2024-07-25,2
50,182,5,2025-06-29,1
51,31,15,2025-04-08,1
52,868,30,2024-08-02,2
53,109,18,2025-04-17,1
54,19,14,2025-12-12,1
55,737,26,2024-03-12,2
56,465,9,2024-05-26,2
57,838,7,2025-12-05,1
58,473,5,2024-04-30,1
59,671,8,2024-11-25,1
60,829,18,2024-09-14,2
61,662,4,2025-12-04,3
62,747,7,2025-02-21,1
63,475,17,2024-03-21,3
64,74,13,2024-11-26,1
65,54,1,2024-07-14,1
66,155,29,2024-02-06,3
67,593,5,2024-02-25,3
68,67,17,2025-02-10,3
69,879,15,2025-04-06,1
70,693,9,2025-04-16,3
71,137,12,2025-06-01,1
72,639,11,2025-03-09,3
73,372,8,2024-02-28,3
74,674,12,2024-07-03,1
75,963,29,2025-09-15,1
76,95,17,2025-02-11,3
77,237,21,2025-11-04,3
78,296,19,2025-06-01,2
79,275,3,2025-05-04,2
80,870,24,2025-10-20,3
81,272,9,2025-11-05,1
82,896,14,2024-04-07,3
83,864,9,2024-02-02,1
84,272,28,2024-10-22,1
85,367,25,2025-03-12,1
86,290,16,2025-01-29,2
87,46,18,2024-11-03,1
88,556,6,2024-06-24,1
89,180,27,2024-01-26,3
90,965,9,2025-06-11,1
91,526,17,2024-11-04,1
92,657,2,2024-05-18,3
93,477,14,2025-08-08,1
94,623,4,2024-11-10,1
95,736,9,2024-12-21,1
96,617,12,2025-04-28,1
97,266,19,2024-05-22,3
98,987,12,2025-03-14,1
99,768,23,2025-09-01,1
100,116,21,2025-02-03,3
101,897,10,2025-05-21,3
102,547,12,2025-02-14,1
103,119,3,2024-02-19,3
104,113,5,2025-04-20,3
105,540,23,2025-01-01,2
106,164,11,2024-11-15,1
107,384,22,2024-04-03,3
108,465,9,2024-11-01,3
109,798,6,2024-10-29,1
110,551,9,2025-04-02,2
111,10,11,2024-08-07,2
112,491,3,2025-07-24,2
113,983,7,2024-03-26,1
114,388,2,2024-11-17,2
115,743,29,2024-08-20,1
116,289,13,2025-12-23,1
117,662,3,2025-08-31,1
118,929,11,2024-04-22,2
119,126,12,2025-03-09,2
120,290,25,2024-06-16,2
121,421,27,2024-03-25,1
122,829,11,2025-01-19,1
123,734,20,2025-01-10,3
124,430,1,2025-04-11,3
125,161,26,2025-09-21,2
126,36,3,2025-12-21,3
127,730,30,2024-11-20,1
128,749,11,2025-10-21,1
129,547,26,2025-05-15,1
130,925,27,2024-09-08,2
131,349,10,2024-04-12,3
132,746,28,2024-05-25,2
133,740,20,2025-10-08,1
134,234,24,2024-09-23,1
135,835,4,2025-08-05,1
136,43,30,2025-06-03,3
137,541,27,2024-01-13,3
138,796,4,2024-04-28,1
139,464,13,2024-10-05,2
140,273,6,2025-02-24,1
141,321,1,2024-06-13,1
142,81,6,2025-11-07,2
143,488,28,2025-07-26,3
144,72,9,2025-09-16,3
145,736,24,2025-08-29,2
146,616,7,2025-05-03,1
147,59,13,2024-03-23,2
148,148,5,2025-05-22,2
149,253,23,2025-07-25,1
150,329,13,2025-06-03,1
151,932,13,2024-06-27,1
152,128,30,2024-11-27,1
153,994,13,2025-03-26,2
154,531,19,2024-06-06,1
155,451,2,2024-08-18,1
156,433,1,2024-11-27,3
157,726,26,2024-01-05,3
158,517,24,2025-01-25,1
159,576,22,2025-12-25,3
160,58,29,2025-12-01,1
161,13,23,2024-07-21,3
162,636,1,2025-11-08,2
163,520,16,2024-11-05,1
164,384,21,2024-01-16,1
165,71,19,2024-04-29,2
166,168,14,2024-04-25,2
167,830,12,2025-02-07,1
